Card ID,Name,Render Type,Game,Cycle,Card Size,Found In,Subtitle,Clue Type,Story Card,Subdeck,Image Description,Card Text,Flavor,Secrets,FAQ,Errata
EC3198,Atlantean Capital Cycle A,Clue,Odyssey,Cycle V,Mini American,,Phos Map,Story,3A,,,"6*3*<<NL>>If there are 5 or more @Progress on your current Story card, you may discard 5 Progress to see paragraph 0601 for an exact location",The capital's location was kept hidden even from its own citizens--yet even this precation did not stave off the fall,,,
EC3199,Atlantean Capital Cycle B,Clue,Odyssey,Cycle V,Mini American,,Phos Map,Story,3A,,,"4*3*<<NL>>If there are 5 or more @Progress on your current Story card, you may discard 5 Progress to see paragraph 0602 for an exact location",The capital's location was kept hidden even from its own citizens--yet even this precation did not stave off the fall,,,
EC3200,Atlantean Capital Cycle C,Clue,Odyssey,Cycle V,Mini American,,Phos Map,Story,3A,,,"7*8*<<NL>>If there are 5 or more @Progress on your current Story card, you may discard 5 Progress to see paragraph 0603 for an exact location",The capital's location was kept hidden even from its own citizens--yet even this precation did not stave off the fall,,,
EC3201,Atlantean Capital Cycle D,Clue,Odyssey,Cycle V,Mini American,,Phos Map,Story,3A,,,"9*2*<<NL>>If there are 5 or more @Progress on your current Story card, you may discard 5 Progress to see paragraph 0604 for an exact location",The capital's location was kept hidden even from its own citizens--yet even this precation did not stave off the fall,,,
EC3202,Atlantean Capital Cycle E,Clue,Odyssey,Cycle V,Mini American,,Phos Map,Story,3A,,,"8*8*<<NL>>If there are 5 or more @Progress on your current Story card, you may discard 5 Progress to see paragraph 0605 for an exact location",The capital's location was kept hidden even from its own citizens--yet even this precation did not stave off the fall,,,
EC3203,Atlantean Capital Cycle F,Clue,Odyssey,Cycle V,Mini American,,Phos Map,Story,3A,,,"5*2*<<NL>>If there are 5 or more @Progress on your current Story card, you may discard 5 Progress to see paragraph 0606 for an exact location",The capital's location was kept hidden even from its own citizens--yet even this precation did not stave off the fall,,,
EC3204,Eclipse Tablet,Clue,Odyssey,Cycle V,Mini American,,Eldritch Lore,Story,4A,,,--Siren Script--,"The refuge has been hidden from this world, and thus can manifest itself in several places",Translates to '4013',,
EC3205,(Unnamed),Clue,Odyssey,Cycle V,Mini American,,,Story,4A,,Partial Map,,,,,
EC3206,(Unnamed),Clue,Odyssey,Cycle V,Mini American,,,Story,4A,,Partial Map,,,,,
EC3207,(Unnamed),Clue,Odyssey,Cycle V,Mini American,,,Story,4A,,Partial Map,,,,,
EC3208,(Unnamed),Clue,Odyssey,Cycle V,Mini American,,,Story,4A,,Partial Map,,,,,
EC3209,(Unnamed),Clue,Odyssey,Cycle V,Mini American,,,Story,4A,,Partial Map,,,,,
EC3210,(Unnamed),Clue,Odyssey,Cycle V,Mini American,,,Story,4A,,Partial Map,,,,,
