Card ID,Name,Game,Render Type,Card Size,Cycle,Found In,Acquisition,Flavor,Slot,Transforms Into,Traits,Attack Dice,Precision,Power,Defensive Statistics,Backside text,Asterisk Effect,AB for Parsing,Ability Box Literal,Secrets,FAQ,Errata
BJ0945,Leg Khopesh,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,2 Hands,Leg Spear,"Hephaestum, Metal, Primordial, Khopesh",2,+0,2 Red. +1 Power,,,,Unique. {Ascended}. {Transform}. {Auto-break 1}. {Pushback 2},,,,
BJ0945,Leg Spear,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,2 Hands,Leg Khopesh,"Hephaestum, Metal, Primordial, Spear",3,+2,1 Red. +1 Power,,,,Unique. {Ascended}. {Transform}. {Reach 2}. {Opening 2}. {Armor-piercing}. {Pull 2}. %Danger 7+% {Opening 1},,,,
"BJ0946, BJ0947",Faceshield,Odyssey,Gear,Mini American,Cycle II,,Crafting,The Burden sheds its outer relief shell like a snake sheds its skin,1 Hand,,"Relief, Primordial, Shield",1,-1,2 Black. Danger 7+ +1 Power,X* Reroll,,*X is equal to the number of Opening tokens in the Kratos Pool,$Fate $Exhaust {Block 1}. {Ascended}. {Break 1}. {Daze}. {Kickback Reduction 1}. %Danger 7+% Ignore @Exhaust cost of {Block 1},,,,
"BJ0948, BJ0949",Roll Breakers,Odyssey,Gear,Mini American,Cycle II,,Crafting,Deadstop,Support,,"Metal, Relief, Rope",,,,,,,"{Ascended}. $Fate $Exhaust {Kickback Reduction 3}, {Knockback Reduction 3}, {Pull Reduction 3}. %Danger 6+% {Reposition 2}",,,,
"BJ0950, BJ0951",Pithos Armor,Odyssey,Gear,Mini American,Cycle II,,Crafting,Diogenes for days,Armor,,"Wood, Metal, Flammable, Armor, Argotech",,,,3 Reroll,,,"$Fate $Discard {Lifeline}. After you use {Lifeline}, place an L Labyrinth under your Titan and suffer [Knockdown|AL0299]. %Danger 7+% When this card causes you to suffer [Knockdown|AL0299], you may immediately {Stand up} and move up to 2 spaces",,,,
"BJ0952, BJ0953",Squat Armor,Odyssey,Gear,Mini American,Cycle II,,Crafting,Fat roll to victory,Armor,,"Relief, Primordial, Armor",,,,"1 Red, 1 Black",,,$Fate $Exhaust {Roll Out}. {Ascended}. {Kickback Reduction 1}. $Fate $Exhaust {Superior Stanch} (@Ambrosia). %Danger 6+% Gain +1 @Speed,,,,
BJ0954,Umbral Virus,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,Attachment,Umbral Carapace,"Ambrosia, Alive, Infection, Primordial",,,,2 Reroll,,,Unique. Titan Attachment. {Titan Possession}. Must start Battle this side up. <Start of Battle> Gain 1 Ambrosia token. %Fate 8+/Ambrosia 3+% {Transform},,,,
BJ0954,Umbral Carapace,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,Armor,Umbral Virus,"Primordial, Ambrosia, Alive, Armor",,,,2 Black,,,"Unique. {Vault}. {Reposition 1}. Wisdom -1. When you {Transform} to this side, discard 1 Ambrosia token. %Danger 8+% $Ambrosia {Advanced Reinforce 1}",,,,
BJ0955,Elephantine Armor,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,Nietzschean's flesh has a life of its own and bonds with any glutton for punishment,Armor,,"Ambrosia, Primordial",,,,1 Reroll. 1 Black,,,Unique. {Ambrosia Limit 5}. You can perform Armor Rolls to lower @Danger from the {Digestive Acids} Trait. $Fate $Exhaust {Superior Stanch} (@Ambrosia). %Ambrosia 3+% +1 @RedArmorDie. %Danger 5+% {Soak: Reduce each @Danger gain by 1 (to a minimum of 1)},,,,
BJ0956,Cowl of Char,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,The mantle of the king of ashes,Support,,"Ambrosia, Iron, Fire, Primordial, Metal",,,,,,,Unique. {Fire 1}. {Inspire 1}. {Motivate 1}. <Start of Battle> Gain +1 @Rage and 1 Ambrosia token. <Reaction> $Fate $Exhaust {Combo Breaker: 5 spaces}. %Danger 8+% <Crit Evade> Discard 1 Ambrosia token,,,,
BJ0957,Necrotic Virus,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,Attachment,Necroxiphos,"Primordial, Alive, Ambrosia, Infection",,,,,,,Unique. Attach to your Titan Sheet. {Titan Possession}. +1 Precision. Must start battle this side up. <Start of Battle> Gain 1 Ambrosia token. %Danger 8+/Ambrosia 3+% {Transform},,,,
BJ0957,Necroxiphos,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,Attachment,Necrotic Virus,"Primordial, Alive, Ambrosia, Sword, Leleges",1,+3,"1 Red, 2 Black",,,,"Unique. {Opening 3}. {Deadly}. $Fate $Fate {Precise}. When you {Transform} to this side, discard 1 Ambrosia token. %Danger 6+% $Ambrosia When performing a Power Roll, gain +1 @Power",,,,
BJ0958,Fumeblade (Barred),Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,1 Hand,Fumeblade (Hidden),"Abyss, Primordial, Ambrosia, Sword, Leleges",,,,,,,"Unique. {Fire 2}. {Opening 2}. *Must start Battle this side up*. $Ambrosia $Fate {Hide}. When you use this ability: Immediately {Transform}. While in the Blindspot, you have {Armor-piercing}. <Crit Miss> Gain 2 Ambrosia tokens. %Danger 7+% Immediately {Hide} and {Transform} (once per Battle)",,,,
BJ0958,Fumeblade (Hidden),Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Crit Loot,,1 Hand,Fumeblade (Barred),"Sword, Abyss, Primordial, Ambrosia, Leleges",1,+0,"2 Red, 1 Black",,,,"Unique. {Opening 2}. {Auto-break 1}. {Power Re-roll 1}. When on a Rear space, gain +1 @Power. When on a Blindspot space, gain {Armor-piercing}. When you lose Hidden: Immediately {Transform}. <Crit Miss> Gain 2 Ambrosia tokens. %Danger 7+% $Ambrosia $Fate {Precise}",,,,
BJ0959,The End,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Other,"For all his wisdom, Great King Lelex failed to learn the truest lesson of them all: in the end, every swordsman dies by their own sword",* Hands,,"Abyss, Primordial, Leleges, Sword",2,+1,1 White. +1 Power,,,This Weapon occupies all Weapon slots,"Unique. {Argonaut Possession}. {Deadly}. {Auto-break 2}. <Start of Battle> Gain the [Hatred|BL0661] Condition card. <Wound> Once per turn you may draw an Obol. If you survive, immediately perform a Bonus Attack! *Fail*: Draw an Obol when you finish resolving this Attack. %Danger 6+% Gain the [Hatred|BL0661] Condition card. %Rage 8+% Gain +2 @Rage",,,,
BJ0960,Red Polis,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,The triumph of Lacedaemon was paid in the god's currency: blood,1 Hand,,"Iron, Metal, Leleges, Divine, Sword",1,+1,3 Red. +1 Power,,"When you gain the _Red Polis_, assign it to a random Argo-bred Titan. When the wielder dies, either assign it to another Argo-bred Titan or permanently lose it. You may voluntarily, permanently lose this Weapon at the end of Cycle II",,"Unique. {Fire 1}. {Titan Possession}. {Power Re-roll 2}. <Start of Battle> Gain the [Berserk|AN0374] Kratos card, ignore the associated @Rage gain. *Blood Currency*: When you Wound with the _Red Polis_, place 1 generic token on this card. You have {Auto-break X}, where X is the number of generic tokens on this card. %Rage 5+% Gain the [Berserk|AN0374] Kratos card. If you already have it, place a generic token on it instead. If there is a generic token on [Berserk|AN0374] when you succeed the Rally test, discard this token and fail the test instead",,,,
BJ0961,Context,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,Is for kings,2 Hands,,"Hephaestum, Metal, Primordial, Blade, Leleges",1,+4,3 Red. Danger 6+ +1 Power,,,,"Unique. When you attack a BP I, gain {Overbreak 1}. When you attack a BP III, gain {Auto-break 1}. $Fate When you are about to attack, change your Weapon Trait from Blade to Sword, Club, or Spear. Gain 1 Fire for that Attack. You gain the following bonuses based on the current Trait: *Spear*: {Opening 2}; *Sword*: {Power Re-roll 2}; *Club*: {Break 2}. %Danger 7+% $Fate {Precise}",,,,
BJ0962,Immeasurable Weight,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,As heavy as the Leleges' sins through inexorable aeons,3 Hands,,"Beyond, Slabsword, Sword, Leleges",3,+0,"1 Hit 1 Black. 2 Hits 2 Black. 3 Hits 2 Black, 1 Power",,,,Unique. Knockback 2. {Break 2}. {Cumbersome}. Ignore the {Lumbering} Trait. {Knockback Reduction 2}. {Pushback Reduction 2}. {Kickback Reduction 2}. $Fate $Fate {Block 1}. <Crit Miss> Gain +2 @Danger. %Rage 7+% Each hit provides 1 @BlackPowerDie instead,,,,
BJ0963,Voice of the People,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,,1 Hand,Peaceful Transition,"Electrum, Metal, Sword",3,+X,1 Red,,,Gain +1 @d10 per Allied Faction,Unique. {Inspire 1}. X is equal to a third of the number of @Refugees on the Argo (rounding up). %Danger 7+% {Inspire 1},,,,
BJ0963,Peaceful Transition,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,,1 Hand,Voice of the People,"Electrum, Metal, Self-propelling wagon",,,,,,,"Unique. $Fate $Fate {Transform}. *Smart Delivery*: During their turn, a Titan with a free Weapon slot may lose -1 @Rage to immediately gain _Peaceful Transition_ (even from the Argo Armory)",,,,
BJ0964,Maw of Byzantion,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,The Maws of Byzantion are blind and voracious,2 Hands,,"Flamethrower, Fire, Argotech",3,+0,1 Red. +1 Power. Full Hit +1 Red,,,,Unique. {Ranged 2-3}. {Fire 3}. {Opening 1}. {Armor-piercing}. {Cumbersome}. Ignore the {Metamorphosis} Trait. {Commit}. <Crit Miss> Gain +3 @Danger and permanently lose this card. %Danger 5+% {Opening 1},,,,
BJ0965,Pursuer Ultimatum,Odyssey,Gear,Mini American,Cycle II,,Crafting,We learned something too: you can't run forever,Support,,"Primordial, Ambrosia, Argotech, Helm",,,,,,,Unique. {Ascended}. <Reaction> $Fate $Exhaust {Superior Reflex},,,,
BJ0966,Hermes Cape,Odyssey,Gear,Mini American,Cycle II,,Crafting,Refashioned and fit for a king - or at least a kingslayer,Armor,,"Primordial, Flammable, Cloak",,,,+1 Evasion,,,Unique. {Ascended}. +1 @Speed. {Tumble}. <Reaction> $Fate $Exhaust {Combo Breaker: 3 spaces}. %Danger 4+% $Discard Discard up to 2 Ambrosia tokens from yourself or an adjacent Titan,,,,
BJ0967,Repurposed Cryptex,Odyssey,Gear,Mini American,Cycle II,,Crafting,"The Pursuer's secret remade to interact with the Antikratos Hel,. It required surprisingly few modifications..",Attachment,,"Argotech, Primordial, Augment, Cryptex, Eldertech",,,,,,,"Unique. {Ascended}. Titan Attachment. {Restricted} (_Cryptex_). +1 Precision. {Frontlines}. $Fate {Semi Sync: Gain a @MovementAction. At the end of your turn, gain a @MovementAction Fatigue token}",,,,
BJ0968,Conqueror Nail,Odyssey,Gear,Mini American,Cycle II,,Crafting,The will of the Pursuer is cast in this spear. It eats away at you,2 Hands,,"Primordial, Spear",2,+1,1 Black. +1 Red. +1 Power,,,,"Unique. {Ascended}. {Reach 3}. {Opening 2}. {Carving 1}. Can only be equipped by a Titan with the [Repurposed Cryptex|BJ0967]. <Reaction> Immediately {Pushback 2}. <Crit Miss> @Adversary. Gain the [Sowed|CF1269] Fated Mnemos (secret deck 7, card 82)",,,,
BJ0969,Archon Pauldron,Odyssey,Gear,Mini American,Cycle II,,Crafting,A liaison archon of the Symmachy stationed at the Pauldron analyzes the battlefield and counsels the Argo,Armor,,"Stone, Argotech, Symmachy, Warriors",,,,2 Reroll. 1 Energy,,,"Unique. {Motivate 2}. When you are about to suffer a Warriors effect, roll a d10. %On 7+%, ignore it. $Fate $Energy Place the top BP card at the bottom of the BP deck. %Danger 5+% Gain 1 @Energy token",,,,
BJ0970,Sisyphus's Burden,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,"Story, Crit Loot",One day,* Hands,,"Hephaestum, Primordial, Club, Whip, Ambrosia",3,-1,1 Black. +1 Power,,,* This Weapon occupies all Weapon slots,"Unique. {Ascended}. {Daze}. {Black 2}. {Cumbersome}. The Rock: During the second ability window, you may gain +X @Danger to place X Opening tokens in the Kratos Pool. $Fate $Exhaust *Sisyphean Rebound*: Arrive from [Time-clocked|CL1295] or ignore Rewind. *Evolution*: If M10 is marked. *Reward*: [Sisyphus's Triumph|BJ0971] @Gear card. %Danger 6+% <Crit Chance> Gain +1 @Power",,,,
BJ0971,Sisyphus's Triumph,Odyssey,Gear,Mini American,Cycle II,Secret Deck 05,Story,This day,* Hands,,"Primordial, Hephaestum, Club, Hammer, Ambrosia",3,+1,1 Black. +2 Power,,,* This Weapon occupies all Weapon slots,"Unique. {Ascended}. Evolved. {Reach 2}. {Daze}. {Hope 2}. {Burden 1}. {Provoke}. {Cumbersome}. *The Rock Transcendent*: During the second ability window, place X Opening and X Break tokens in the Kratos Pool, where X is the number of Condition tokens you have. $Fate $Exhaust *Sisyphean Rebound*: Arrive from [Time-clocked|CL1295] or ignore Rewind, then gain 1 positive Precision token. %Danger 6+% <Crit Chance> Gain +1 @Power",,,,
"CJ1170, CJ1171, CJ1401, CJ1402",Excavated,Odyssey,Gear,Mini American,Cycle III,,Crafting,This gear was recovered from the Future Argo's wreck. Maybe it can help us cheat fate?,Attachment,,"Paradox, Ambrosia",,,,,,,Attach to a Weapon or Armor with the _Labyrinth_ Trait. That @Gear becomes _Excavated_ (Power Level III). It loses the _Labyrinth_ Trait and gains this Attachment's Traits and {Reposition 1}. <End of Battle> Permanently lose this card and the @Gear card it is attached to. %Danger 7+% {Black 1},,,,
ZJ1239,Horizon's Edge,Odyssey,Gear,Mini American,Mnestis Theatre,Secret Deck 12,Tree of Knowledge,Kill them with kindness!,2 Hands,,"Scythe, Bone, Celestial",2,+2,1 Red. +1 Black,,,,"Unique. Ascended. {Reach 2}. {Reposition 2}. {Opening 2}. While in the Blindspot, you have {Deadly}. <Crit Chance> {Break 2}. %Danger 5+% When you attack, if you are adjacent to a Blindspot space, you are considered to be in the Blindspot",,,,
ZJ1240,Skyreach,Odyssey,Gear,Mini American,Mnestis Theatre,Secret Deck 12,Tree of Knowledge,Crafted by Nyx herself,Support,,"Helm, Metal, Celestial",,,,,,,"Unique. Ascended. <Reaction> $Fate $Exhaust When resolving an AI card, if you're not the Target, move up to 3 spaces in a straight line in the same direction as the Primordial. During this movement, you ignore all Terrain tiles, but you cannot end it on an Obstacle or Chasm",,,,
"CJ1389, CJ1390",Black Xiphos,Odyssey,Gear,Mini American,Cycle III,,Crafting,Forged from the Nietzschean's wrath,1 Hand,,"Sword, Ambrosia, Fire, Iron, Metal, Abyss",1,+2,2 Red. +1 Power,,,,{Black 1}. {Opening 2}. {Reposition 1}. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 3+% Gain +1 @RedPowerDie. %Danger 6+% {Power Re-roll 2},,,,
"CJ1391, CJ1392",Smoldering Mace,Odyssey,Gear,Mini American,Cycle III,,Crafting,It carries the weight of the Nietzschean's sins,1 Hand,,"Club, Ambrosia, Fire, Iron, Metal, Abyss",1,+1,"1 Red, 1 Black. +1 Power",,,,{Break 1}. {Fire 1}. {Reposition 1}. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 3+% {Fire 1}. %Danger 5+% Auto-black 1,,,,
"CJ1393, CJ1394",Abyssal Watchers,Odyssey,Gear,Mini American,Cycle III,,Crafting,Eternally vigilant,2 Hands,,"Knife, Ambrosia, Fire, Iron, Primordial, Metal, Abyss",2,+2,1 Hit 1 Red. 2 Hits 2 Red. 3+ Hits 3 Red,,,"When you attack, you may gain +1 @Fate to gain +2 @d10 (up to 2 times)","{Reposition 2}. {Spiral 3}. {Opening X}, where X is the number of @d10 you hit with. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 2+% <4+ hits> +1 @RedPowerDie from a Rear or Blindspot space. %Ambrosia 3+% {Black 1}. %Danger 6+% {Reposition 4} instead",,,,
"CJ1395, CJ1396",Hardened Cestus,Odyssey,Gear,Mini American,Cycle III,,Crafting,These cestuses retain the ambrosia's ability to harden,2 Hands,,"Cestus, Ambrosia, Fire, Iron, Primordial, Metal, Abyss",4,+1,1 Hit 1 Red. 2 Hits 2 Red. 3+ Hits 3 Red,,,,$Fate $Fate {Block 1}. <Start of Battle> Gain 1 Ambrosia token. <Full Hit> One @RedPowerDie becomes @BlackPowerDie. %Ambrosia 3+% $Fate *Hardening:* Trigger the *Full Hit* ability. %Danger 7+% {Rouse 1},,,,
"CJ1397, CJ1398",Abyssal Spear,Odyssey,Gear,Mini American,Cycle III,,Crafting,To reach the heart of the Abyss,2 Hands,,"Spear, Ambrosia, Fire, Iron, Primordial, Metal, Abyss",3,+1,1 Red. +1 Power,,,,{Reach 2}. {Fire 1}. {Opening 1}. {Reposition 1}. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 3+% $Fate $Fate {Precise}. %Danger 6+% $Fate {Spotlight},,,,
"CJ1399, CJ1400",Black Javelin,Odyssey,Gear,Mini American,Cycle III,,Crafting,"Like a long, black bone of a giant",1 Hand,,"Javelin, Ambrosia, Fire, Iron, Metal, Abyss",2,+3,1 Red,,,,{Attack Re-roll 1}. {Cumbersome}. {Ranged 2-5}. {Fire 1}. {Reposition 1}. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 2+% +1 @d10. %Ambrosia 3+% {Black 1}. %Danger 5+% {Auto-break 1}. {Ranged 2-6} instead,,,,
"CJ1403, CJ1404",Abyss Linothorax,Odyssey,Gear,Mini American,Cycle III,,Crafting,"Agile, ambrosia-based armor",Armor,,"Armor, Ambrosia, Fire, Iron, Metal, Abyss",,,,2 Red,,,"{Tumble}. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 3+% {Vault}. %Danger 5+% If you have no Evasion bonus, gain +1 @Evasion",,,,
"CJ1405, CJ1406",Abyss Thorax,Odyssey,Gear,Mini American,Cycle III,,Crafting,Heavy armor based on the Nietzschean's elephantine skin,Armor,,"Armor, Ambrosia, Fire, Iron, Primordial, Metal, Abyss",,,,"1 Red, 1 Black",,,{Kickback Reduction 1}. {Knockback Reduction 1}. {Pull Reduction 1}. {Pushback Reduction 1}. <Start of Battle> Gain 1 Ambrosia token. $Fate $Exhaust Gain 1 Ambrosia token to discard 1 Bleeding token. %Danger 7+% $Discard {Second Chance},,,,
"CJ1407, CJ1408",Abyss Mirror,Odyssey,Gear,Mini American,Cycle III,,Crafting,Do you see anything?,1 Hand,,"Shield, Primordial, Argotech, Ambrosia, Fire, Abyss",3,+2,1 Red,1 Reroll,,,"$Fate $Exhaust {Block 1}. <Start of Battle> Gain 1 Ambrosia token. %Ambrosia 2+% <Full Hit> One @RedPowerDie becomes @BlackPowerDie. %Ambrosia 3+% {Laser Resistance 1}. %Danger 4+% When you Block with this card, you may immediately resolve {Pushback 1}",,,,
"CJ1409, CJ1410",Hourglass Necklace,Odyssey,Gear,Mini American,Cycle III,,Crafting,A stolen moment may come in handy,Support,,"Hyperborean, Paradox",,,,,,,"$Fate $Exhaust Arrive from [Time-clocked|CL1295]. $Fate $Exhaust When you are about to suffer [Bleeding|CL1283] Buildup, ignore it. %Danger 7+/Paradox 3+% When you arrive from TIme-clocked, gain 1 positive Evasion token",,,,
"CJ1411, CJ1412",Paradox Guard,Odyssey,Gear,Mini American,Cycle III,,Crafting,For temporal entropy and icy weather,Support,,"Paradox, Augment, Argotech, Umbrella",,,,,,,"$Danger $Exhaust {Temporal Reflex}. $Fate $Exhaust When you are about to resolve involuntary movement onto or beyond the [Timefront|CI1310], stop adjacent instead. %Danger 4+% @Paradox and @Fate effect triggers on AI cards trigger at +1",,,,
"CJ1413, CJ1414",Paradox Scanner,Odyssey,Gear,Mini American,Cycle III,,Crafting,It's over MMMMMMMMM,Support,,"Paradox, Augment, Argotech",,,,,,,"$Fate $Exhaust If the Kratos Pool is empty, place 2 Opening tokens and 1 Break token in the Kratos Pool. %Danger 7+% You can use this card's ability if there are up to 2 tokens in the Kratos Pool",,,,
"CJ1415, CJ1416",Fatesafe,Odyssey,Gear,Mini American,Cycle III,,Crafting,"A little good luck, for emergencies",Support,,"Paradox, Augment, Argotech",,,,2 Energy,,,$Exhaust $Energy Lose -1 @Fate. %Danger 7+/Paradox 3+% $Discard {Second Chance},,,,
"CJ1417, CJ1418",Siren Coral Panoply,Odyssey,Gear,Mini American,Cycle III,,Crafting,"This armor was made for sirens, not from sirens",Armor,,"Armor, Primordial, Shell",,,,2 Reroll,,,{Ambrosia Limit 5}. <Reaction> $Fate $Exhaust {Reflex}. %Danger 7+% 3 @EvasionReroll instead,,,,
"CJ1419, CJ1420",Siren Cataphract,Odyssey,Gear,Mini American,Cycle III,,Crafting,The sirens must've waged terrible wars in the past,Armor,,"Armor, Primordial, Shell",,,,2 Black,,,"{Motivate 1}. {Bleeding Limit 5}. For each @Danger mitigated, you may move your Time Anchor 1 space. %Danger 7+% {Motivate 2} instead",,,,
"CJ1421, CJ1422",Spiral Shield,Odyssey,Gear,Mini American,Cycle III,,Crafting,Maybe it holds the secret?,1 Hand,,"Shield, Primordial, Shell",4,+1,1 Red,1 Reroll,,,"{Spiral 1}. {Pull Reduction 2}. After an Attack against you is resolved, move up to 1 space. $Fate $Exhaust {Dodge}. %Danger 6+% <Crit Evade> Lose -1 @Fate",,,,
"CJ1423, CJ1424",Exoaegis,Odyssey,Gear,Mini American,Cycle III,,Crafting,,1 Hand,Razorbow,"Shield, Argotech, Iron, Metal, Fire",4,+2,1 Red,,,,{Break 2}. {Assist 1}. {Trauma Trick}. $Fate {Transform}. $Danger $Exhaust {Block 1}. *Stem:* {Stanch} (Bleeding). %Danger 7+% <Crit Evade> Place 1 Diversion token in the Kratos Pool,,,,
"CJ1423, CJ1424",Razorbow,Odyssey,Gear,Mini American,Cycle III,,Crafting,,1 Hand,Exoaegis,"Bow, Argotech, Iron, Metal",2,+3,2 Red,,,,{Ranged 3-6}. {Opening 2}. {Reposition 1}. {Cumbersome}. $Fate {Precise}. $Fate {Transform}. {Fail Trick}.%Danger 7+% {Reposition 2} instead,,,,
"CJ1425, CJ1426",Sun Spear,Odyssey,Gear,Mini American,Cycle III,,Crafting,,2 Hands,Sun Axe,"Spear, Argotech, Iron, Metal",1,+2,2 Black. +1 Power,,,,{Break 2}. {Opening 1}. {Reach 2}. {Assist 1}. $Fate {Transform}. {Wound Trick}. %Danger 6+% {Opening 1},,,,
"CJ1425, CJ1426",Sun Axe,Odyssey,Gear,Mini American,Cycle III,,Crafting,,2 Hands,Sun Spear,"Axe, Argotech, Iron, Metal",2,+0,1 Black. +1 Red,,,,{Wound Trick}. $Fate {Heartseeker}. $Fate {Transform}. %Danger 7+% {Deadly},,,,
"CJ1427, CJ1428",Sun Disc,Odyssey,Gear,Mini American,Cycle III,,Crafting,,1 Hand,Sun Cutter,"Discus, Argotech, Iron, Metal",4,+1,1 Red. Danger 3+ +1 Power,,,,{Break 1}. {Opening 1}. {Reposition 1}. {Ranged 2-5}. {Cumbersome}. {Fail Trick}. $Fate {Transform}. %Danger 6+% {Ranged 2-6} instead,,,,
"CJ1427, CJ1428",Sun Cutter,Odyssey,Gear,Mini American,Cycle III,,Crafting,,1 Hand,Sun Disc,"Blade, Argotech, Iron, Metal",1,+3,"2 Red, 1 Black",,,,{Overbreak 1}. {Carving 1}. {Deadly}. {Clutch}. {Trauma Trick}. $Fate {Transform}. %Danger 5+% {Pushback 1},,,,
"CJ1429, CJ1430",Spiral Spada,Odyssey,Gear,Mini American,Cycle III,,Crafting,Like the lances of burnt Atlantis,1 Hand,,"Sword, Spada, Primordial, Shell",2,+1,1 Red. +1 Red. +1 Power,,,,{Break 2}. {Sprial 1}. $Fate {Heartseeker}. %Bleeding 1% {Attack Re-roll 1}. %Danger 9+% {Break 1},,,,
"CJ1431, CJ1432",Sirentusks,Odyssey,Gear,Mini American,Cycle III,,Crafting,The most powerful sirens are said to have grown these,2 Hands,,"Knife, Primordial, Shell",4,+2,1 Red,,,,{Spiral 2}. {Opening 2}. {Assist 2}. {Reposition 2}. %Danger 5+% {Opening 1},,,,
"CJ1433, CJ1434",Spiradiscus,Odyssey,Gear,Mini American,Cycle III,,Crafting,The way it returns after being thrown is quite unnatural and unnerving,1 Hand,,"Discus, Ambrosia, Primordial, Shell",1,+2,2 Black. Danger 6+ +1 Power,,,,{Spiral 1}. {Black 2}. {Reposition 1}. {Ranged 2-4}. {Cumbersome}. <Start of Battle> Gain 1 Ambrosia,,,,
"CJ1435, CJ1436",True Sirenblade,Odyssey,Gear,Mini American,Cycle III,,Crafting,Weapon of aquatic royalty,1 Hand,,"Sword, Primordial, Shell, Ambrosia",1,+2,3 Red. +1 Power. Danger&Fate 9+ +1 Power,,,,{Opening 1}. {Spiral 1}. {Reposition 3}. %Bleeding 2+% {Auto-break 1}. {Black 1}. {Clutch}. %Danger&Fate 9+% {Attack Re-roll 1},,,,
"CJ1437, CJ1438",Siren Mask,Odyssey,Gear,Mini American,Cycle III,,Crafting,"To reveal, not hide",Support,,"Mask, Ambrosia, Primordial, Shell",,,,1 Reroll,,,"{Spiral 2}. {Rouse 1}. {Bleeding Limit 5}. +1 to Judgements tests. <Start of Battle> Gain 1 Ambrosia token. %Danger 7+/Fate 7+% $Discard When you are about to die from an Instant Death effect of a Judgement, draw an Obol instead",,,,
"CJ1439, CJ1440",Recall Shell,Odyssey,Gear,Mini American,Cycle III,,Crafting,The sirens dabbled in the forbidden arts,Support,,"Primordial, Shell, Atemporal",,,,,,,$Fate $Exhaust Place the Recall Shell on your space (mark it with a generic token). You can have one Recall Shell at a time. $Fate $Exhaust Place your Titan on your Recall. Treat this as voluntary movement. %Danger 6+/Paradox 3+% You may use this card's abilities as @Reaction,,,,
"CJ1441, CJ1442",Fatesafer,Odyssey,Gear,Mini American,Cycle III,,Crafting,It tangles the Moirai web,Support,,"Paradox, Augment, Argotech",,,,3 Energy,,,$Exhaust $Energy Lose -1 @Fate. %Danger 7+/Paradox 3+% $Discard {Second Chance},,,,
"CJ1443, CJ1444",Looper Guard,Odyssey,Gear,Mini American,Cycle III,,Crafting,Riding the timewave all the way to the future,Support,,"Paradox, Augment, Argotech, Atemporal",,,,,,,"$Fate $Exhaust When you are about to suffer {Rewind}, ignore it. $Fate $Exhaust When you are about to suffer Knockdown, suffer [Time-clocked|CL1295] instead. %Danger 8+/Fate 8+% $Fate $Exhaust {Rewind}",,,,
"CJ1445, CJ1446",Ontological Module,Odyssey,Gear,Mini American,Cycle III,,Crafting,What is real?,Support,,"Paradox, Augment, Argotech, Atemporal",,,,,,,"$Fate $Exhaust Unexhaust any 1 @Gear. $Fate $Discard Exchange this card for another @Support from the Argo Armory. %Danger 8+/Fate 8+% $Discard When you are about to be erased from existence, you die instead",,,,
CJ1447,Prototype Trespass Device,Odyssey,Gear,Mini American,Cycle III,,Crafting,The ultimate trespass,Support,,"Paradox, Augment, Argotech, Atemporal, Divine",,,,,,,"Unique. {Awakening Lock}. {Mnestis Prohibited}. $Danger $Exhaust {Temporal Reflex}. $Discard When you die, lose 1 Titan from the Argo to come back to life at your Time Anchor",,,,
"CJ1448, CJ1449",Time Booster,Odyssey,Gear,Mini American,Cycle III,,Crafting,To stretch the sliver of possibility,Support,,"Paradox, Augment, Argotech, Atemporal",,,,,,,"$Fate $Exhaust $ComplicatedAction {Improved Rush}. $Fate $Exhaust When you are about to suffer Knockdown, suffer [Time-clocked|CL1295] instead. %Danger 8+% Gain +1 @Speed",,,,
